Unnamed: 0,time(millisecond),datetime(utc),lat,lon,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,time,alt,Planename,uav_category,x,y,z,vel_x,vel_y,vel_z,track_id
1155,174199,29/09/2020 12:01,51.52233534,5.867390481,169.2027613,161.6240209,89.9934412,267.7449243,0,18.31040526,2239.586686,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.894776,-1.565858,0.0,241.6,1.5,3.7,0,0,1024,1024,1024,1024,0,0,79,,,,,,,0,32,267.7449243,169.2027613,6,P-GPS,,2020-09-29 14:01:00,81.60865291,Parrot,Fixed-Wing,1885.1508270584015,1118.855730559195,81.23244874093723,-13.009671683876213,-8.33883619600432,-0.10558938622650207,0
1160,175171,29/09/2020 12:01,51.52233534,5.867390481,169.4258584,161.847118,89.9934412,267.9680214,0,18.56177021,2239.586686,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.894776,-1.565858,0.0,243.7,-0.2,5.1,0,0,1024,1024,1024,1024,0,0,79,,,,,,,0,32,267.9680214,169.4258584,6,P-GPS,,2020-09-29 14:01:00,81.67665291,Parrot,Fixed-Wing,1885.1508471152656,1118.8557424942956,81.30044873723648,1.2568973506633976e-05,7.479332821647755e-06,0.042613349195892124,0
1170,176412,29/09/2020 12:01,51.5222567,5.867183844,169.78347,161.1548608,91.04331,268.3256329,0,18.32031491,2184.898364,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.894776,-1.565858,0.0,241.1,0.6,3.5,0,0,1024,1024,1024,1024,0,0,79,,,,,,,0,32,268.3256329,169.78347,6,P-GPS,,2020-09-29 14:01:00,81.78565292,Parrot,Fixed-Wing,1870.811954456247,1110.1009991639435,81.41519255494961,-8.985709900221282,-5.486308161178789,0.07190615644685705,0
1183,178221,29/09/2020 12:01,51.52217666,5.866980844,169.7670658,159.7933122,92.3884544,268.3092287,0,18.51902229,2130.757942,15,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.894776,-1.565858,0.0,241.6,0.4,4.7,0,0,1024,1024,1024,1024,0,0,79,,,,,,,0,32,268.3092287,169.7670658,6,P-GPS,,2020-09-29 14:01:00,81.78065292,Parrot,Fixed-Wing,1856.7254714568614,1101.1906051265105,81.41584573114045,-8.827533112695678,-5.5838493125670405,0.00040932392090317247,0
1190,179231,29/09/2020 12:01,51.5221373,5.866880304,169.4521052,158.9862256,92.8805804,267.9942681,0,18.39865254,2103.992849,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.894776,-1.565858,0.0,243.4,0.6,4.5,0,0,1024,1024,1024,1024,0,0,79,,,,,,,0,32,267.9942681,169.4521052,6,P-GPS,,2020-09-29 14:01:00,81.68465291,Parrot,Fixed-Wing,1849.7487890725877,1096.8088623607616,81.32262409060479,-4.372056159555525,-2.7458933047837673,-0.05841891966108589,0
1200,180841,29/09/2020 12:01,51.52209773,5.866776782,169.4816327,158.5564355,93.339898,268.0237957,0,18.77177414,2076.591274,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.894776,-1.565858,0.0,242.8,0.5,3.8,0,0,1024,1024,1024,1024,0,0,79,,,,,,,0,32,268.0237957,169.4816327,6,P-GPS,,2020-09-29 14:01:00,81.69365291,Parrot,Fixed-Wing,1842.5651595210575,1092.4037077322585,81.33445551508049,-4.501743106369319,-2.760564745036277,0.007414362501567685,0
1207,182045,29/09/2020 12:01,51.52205909,5.866672044,168.9370133,157.5524985,93.7992156,267.4791762,0,19.10823228,2049.084711,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.894776,-1.565858,0.0,244.5,1.3,4.1,0,0,1024,1024,1024,1024,0,0,79,,,,,,,0,32,267.4791762,168.9370133,6,P-GPS,,2020-09-29 14:01:00,81.52765291,Parrot,Fixed-Wing,1835.2970298834575,1088.1019744115333,81.17128242489241,-4.554696516233143,-2.695754031176137,-0.10225518014674125,0
1220,184059,29/09/2020 12:01,51.52198144,5.8664644,169.373365,159.4652282,92.3228376,267.9155279,0,18.83367027,1994.402951,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.894776,-1.565858,0.0,241.9,-0.7,5.6,0,0,1024,1024,1024,1024,0,0,78,,,,,,,0,32,267.9155279,169.373365,6,P-GPS,,2020-09-29 14:01:00,81.66065291,Parrot,Fixed-Wing,1820.8880374609782,1079.4574979559065,81.30987345294562,-9.029639104066371,-5.417207556868002,0.08685041463619038,0
1227,185069,29/09/2020 12:01,51.5219422,5.866360148,169.0944936,159.94095,91.5682444,267.6366565,0,19.7262317,1966.919354,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-1.11847,-1.789552,0.0,242.6,0.5,5.1,0,0,1024,1024,1024,1024,0,0,78,,,,,,,0,32,267.6366565,169.0944936,6,P-GPS,,2020-09-29 14:01:00,81.57565291,Parrot,Fixed-Wing,1813.6536506660423,1075.0890659928184,81.22766865322717,-4.533550992474965,-2.737551864890698,-0.051515029803310596,0
1241,187279,29/09/2020 12:01,51.52182306,5.866038114,169.3044674,159.3963306,92.3228376,267.8466303,0,18.82449881,1882.358984,16,0,0,275.3138221,176.7716592,35.24880574,3788.517182,-0.894776,-1.565858,0.0,242.9,-1.0,4.5,0,0,1024,1024,1024,1024,0,0,78,,,,,,,0,32,267.8466303,169.3044674,6,P-GPS,,2020-09-29 14:01:00,81.63965291,Parrot,Fixed-Wing,1791.306592408289,1061.8256701093947,81.30019401336392,-14.004162483301432,-8.311731633284383,0.045449245077375355,0
